//ID,AvatarPartType,RES
//Beard,,
110020,Quiver,Quiver/Quiver 01 Purple Arrow White
110021,Quiver,Quiver/Quiver 01 Purple Arrow Yellow
110022,Quiver,Quiver/Quiver 01 Red Arrow Black
110023,Quiver,Quiver/Quiver 01 Red Arrow Blue
110024,Quiver,Quiver/Quiver 01 Red Arrow Green
110025,Quiver,Quiver/Quiver 01 Red Arrow Purple
110026,Quiver,Quiver/Quiver 01 Red Arrow Red
110027,Quiver,Quiver/Quiver 01 Red Arrow White
110028,Quiver,Quiver/Quiver 01 Red Arrow Yellow
1001,MainBody,MainBody/Female/Female Aqua 01 Blue
1002,MainBody,MainBody/Female/Female Aqua 01 Cyan
1003,MainBody,MainBody/Female/Female Black Archer 01 Black
1004,MainBody,MainBody/Female/Female Black Barbarian 01 Blue
1005,MainBody,MainBody/Female/Female Black Casual 01A
1006,MainBody,MainBody/Female/Female Black Elf 01
1007,MainBody,MainBody/Female/Female Black Knight 01 Green
1008,MainBody,MainBody/Female/Female Black L Dress 04 Red
1009,MainBody,MainBody/Female/Female Black Naked
1010,MainBody,MainBody/Female/Female Black Sorceress 01 Blue
1011,MainBody,MainBody/Female/Female Brown Archer 01 Black
1012,MainBody,MainBody/Female/Female Brown Barbarian 01 Blue
1013,MainBody,MainBody/Female/Female Brown Casual 01A
1014,MainBody,MainBody/Female/Female Brown Elf 01
1015,MainBody,MainBody/Female/Female Brown Knight 01 Green
1016,MainBody,MainBody/Female/Female Brown L Dress 04 Red
1017,MainBody,MainBody/Female/Female Brown Naked
1018,MainBody,MainBody/Female/Female Brown Sorceress 01 Blue
1019,MainBody,MainBody/Female/Female Fire 01 Orange
1020,MainBody,MainBody/Female/Female Fire 01 Yellow
1021,MainBody,MainBody/Female/Female Gorgon 03 Yellow
1022,MainBody,MainBody/Female/Female Gorgon Underwear
1023,MainBody,MainBody/Female/Female Spideress 03 Yellow
1024,MainBody,MainBody/Female/Female Spideress Underwear
1025,MainBody,MainBody/Female/Female White Archer 01 Black
1026,MainBody,MainBody/Female/Female White Barbarian 01 Blue
1027,MainBody,MainBody/Female/Female White Casual 01A
1028,MainBody,MainBody/Female/Female White Elf 01
1029,MainBody,MainBody/Female/Female White Knight 01 Green
1030,MainBody,MainBody/Female/Female White L Dress 04 Red
1031,MainBody,MainBody/Female/Female White Naked
1032,MainBody,MainBody/Female/Female White Sorceress 01 Blue
2001,MainBody,MainBody/Male/Male Aqua 01 Blue
2002,MainBody,MainBody/Male/Male Aqua 01 Cyan
2003,MainBody,MainBody/Male/Male Black Archer 01 Black
2004,MainBody,MainBody/Male/Male Black Barbarian 06 Yellow
2005,MainBody,MainBody/Male/Male Black Casual 01A
2006,MainBody,MainBody/Male/Male Black King 01 Black
2007,MainBody,MainBody/Male/Male Black L Robe 01 Blue
2008,MainBody,MainBody/Male/Male Black Naked
2009,MainBody,MainBody/Male/Male Black S Robe 01 Blue
2010,MainBody,MainBody/Male/Male Black Santa 01
2011,MainBody,MainBody/Male/Male Black Wizard 01 Black
2012,MainBody,MainBody/Male/Male Brown Archer 01 Black
2013,MainBody,MainBody/Male/Male Brown Barbarian 01 Blue
2014,MainBody,MainBody/Male/Male Brown Casual 01A
2015,MainBody,MainBody/Male/Male Brown King 01 Black
2016,MainBody,MainBody/Male/Male Brown L Robe 01 Purple
2017,MainBody,MainBody/Male/Male Brown Naked
2018,MainBody,MainBody/Male/Male Brown S Robe 02 Red
2019,MainBody,MainBody/Male/Male Brown Santa 01
2020,MainBody,MainBody/Male/Male Brown Wizard 06 White
2021,MainBody,MainBody/Male/Male Fire 01 Orange
2022,MainBody,MainBody/Male/Male Fire 01 Yellow
2023,MainBody,MainBody/Male/Male White Archer 01 Black
2024,MainBody,MainBody/Male/Male White Barbarian 01 Blue
2025,MainBody,MainBody/Male/Male White Casual 01A
2026,MainBody,MainBody/Male/Male White Knight 04 White
2027,MainBody,MainBody/Male/Male White L Robe 01 Blue
2028,MainBody,MainBody/Male/Male White Naked
2029,MainBody,MainBody/Male/Male White S Robe 01 Blue
2030,MainBody,MainBody/Male/Male White Santa 01
2031,MainBody,MainBody/Male/Male White Wizard 06 Red
3001,MainBody,MainBody/Jacket/Jacket 01 Black
3002,MainBody,MainBody/Jacket/Jacket 01 Blue
3003,MainBody,MainBody/Jacket/Jacket 01 Green
3004,MainBody,MainBody/Jacket/Jacket 01 Magenta
3005,MainBody,MainBody/Jacket/Jacket 01 Purple
3006,MainBody,MainBody/Jacket/Jacket 01 Red
3007,MainBody,MainBody/Jacket/Jacket 01 White
3008,MainBody,MainBody/Jacket/Jacket 01 Yellow
